video_id,participant,deviation_type,severity,detail,action
P05-20240424-085204,P05,omission,critical,Missing from session; present in ≥80% of sessions,take(package)
P05-20240424-085204,P05,omission,moderate,Missing from session; present in ≥50% of sessions,press(button)
P05-20240424-085204,P05,omission,moderate,Missing from session; present in ≥50% of sessions,eat(spoon)
P05-20240424-085204,P05,oscillation,moderate,wash(hand) → put(cloth) → wash(hand) at position 61 (span=5.0s),wash(hand) ↔ put(cloth)
P05-20240424-085204,P05,rare_transition,low,take(bowl) → flip(bowl) seen in only 14% of sessions,take(bowl) → flip(bowl)
P05-20240424-085204,P05,rare_transition,low,flip(bowl) → put(bowl) seen in only 14% of sessions,flip(bowl) → put(bowl)
P05-20240424-085204,P05,rare_transition,low,take(oatmeal) → open(top) seen in only 14% of sessions,take(oatmeal) → open(top)
P05-20240424-085204,P05,rare_transition,low,open(top) → check(oatmeal) seen in only 14% of sessions,open(top) → check(oatmeal)
P05-20240424-085204,P05,rare_transition,low,check(oatmeal) → pour(oatmeal) seen in only 14% of sessions,check(oatmeal) → pour(oatmeal)
P05-20240424-085204,P05,rare_transition,low,pour(oatmeal) → shake(oatmeal) seen in only 14% of sessions,pour(oatmeal) → shake(oatmeal)
P05-20240424-085204,P05,rare_transition,low,shake(oatmeal) → put(oatmeal) seen in only 14% of sessions,shake(oatmeal) → put(oatmeal)
P05-20240424-085204,P05,rare_transition,low,put(oatmeal) → put(oatmeal) seen in only 14% of sessions,put(oatmeal) → put(oatmeal)
P05-20240424-085204,P05,rare_transition,low,take(milk) → close(fridge) seen in only 14% of sessions,take(milk) → close(fridge)
P05-20240424-085204,P05,rare_transition,low,close(fridge) → turn-on(lid) seen in only 14% of sessions,close(fridge) → turn-on(lid)
P05-20240424-085204,P05,rare_transition,low,turn-on(lid) → pour(milk) seen in only 14% of sessions,turn-on(lid) → pour(milk)
P05-20240424-085204,P05,rare_transition,low,pour(milk) → screw(milk) seen in only 14% of sessions,pour(milk) → screw(milk)
P05-20240424-085204,P05,rare_transition,low,screw(milk) → open(fridge) seen in only 14% of sessions,screw(milk) → open(fridge)
P05-20240424-085204,P05,rare_transition,low,open(fridge) → put(bottle) seen in only 14% of sessions,open(fridge) → put(bottle)
P05-20240424-085204,P05,rare_transition,low,put(bottle) → take(glass) seen in only 14% of sessions,put(bottle) → take(glass)
P05-20240424-085204,P05,rare_transition,low,pour(water) → reach(scale) seen in only 14% of sessions,pour(water) → reach(scale)
P05-20240424-085204,P05,rare_transition,low,reach(scale) → put(glass) seen in only 14% of sessions,reach(scale) → put(glass)
P05-20240424-085204,P05,rare_transition,low,take(oatmeal) → move(cup) seen in only 14% of sessions,take(oatmeal) → move(cup)
P05-20240424-085204,P05,rare_transition,low,move(cup) → move(teapot) seen in only 14% of sessions,move(cup) → move(teapot)
P05-20240424-085204,P05,rare_transition,low,move(teapot) → open(microwave) seen in only 14% of sessions,move(teapot) → open(microwave)
P05-20240424-085204,P05,rare_transition,low,put(oatmeal) → press(watch) seen in only 14% of sessions,put(oatmeal) → press(watch)
P05-20240424-085204,P05,rare_transition,low,press(watch) → press(alarm) seen in only 14% of sessions,press(watch) → press(alarm)
P05-20240424-085204,P05,rare_transition,low,press(alarm) → take(lid) seen in only 14% of sessions,press(alarm) → take(lid)
P05-20240424-085204,P05,rare_transition,low,put(lid) → take(spreads) seen in only 14% of sessions,put(lid) → take(spreads)
P05-20240424-085204,P05,rare_transition,low,take(spreads) → open(cupboard) seen in only 14% of sessions,take(spreads) → open(cupboard)
P05-20240424-085204,P05,rare_transition,low,open(cupboard) → open(cupboard) seen in only 14% of sessions,open(cupboard) → open(cupboard)
P05-20240424-085204,P05,rare_transition,low,open(cupboard) → put(spreads) seen in only 14% of sessions,open(cupboard) → put(spreads)
P05-20240424-085204,P05,rare_transition,low,put(spreads) → close(cupboard) seen in only 14% of sessions,put(spreads) → close(cupboard)
P05-20240424-085204,P05,rare_transition,low,close(cupboard) → turn-off(scale) seen in only 14% of sessions,close(cupboard) → turn-off(scale)
P05-20240424-085204,P05,rare_transition,low,turn-off(scale) → take(plate) seen in only 14% of sessions,turn-off(scale) → take(plate)
P05-20240424-085204,P05,rare_transition,low,take(plate) → turn-on(tap) seen in only 14% of sessions,take(plate) → turn-on(tap)
P05-20240424-085204,P05,rare_transition,low,turn-on(tap) → wash(cloth) seen in only 14% of sessions,turn-on(tap) → wash(cloth)
P05-20240424-085204,P05,rare_transition,low,wash(cloth) → turn-off(tap) seen in only 14% of sessions,wash(cloth) → turn-off(tap)
P05-20240424-085204,P05,rare_transition,low,turn-off(tap) → apply(cloth) seen in only 14% of sessions,turn-off(tap) → apply(cloth)
P05-20240424-085204,P05,rare_transition,low,apply(cloth) → take(glass) seen in only 14% of sessions,apply(cloth) → take(glass)
P05-20240424-085204,P05,rare_transition,low,take(glass) → wash(top) seen in only 14% of sessions,take(glass) → wash(top)
P05-20240424-085204,P05,rare_transition,low,wash(top) → slide(top) seen in only 14% of sessions,wash(top) → slide(top)
P05-20240424-085204,P05,rare_transition,low,slide(top) → slide(top) seen in only 14% of sessions,slide(top) → slide(top)
P05-20240424-085204,P05,rare_transition,low,slide(top) → squeeze(cloth) seen in only 14% of sessions,slide(top) → squeeze(cloth)
P05-20240424-085204,P05,rare_transition,low,squeeze(cloth) → put(glass) seen in only 14% of sessions,squeeze(cloth) → put(glass)
P05-20240424-085204,P05,rare_transition,low,put(glass) → hold(hand) seen in only 14% of sessions,put(glass) → hold(hand)
P05-20240424-085204,P05,rare_transition,low,hold(hand) → take(cloth) seen in only 14% of sessions,hold(hand) → take(cloth)
P05-20240424-085204,P05,rare_transition,low,take(cloth) → wash(top) seen in only 14% of sessions,take(cloth) → wash(top)
P05-20240424-085204,P05,rare_transition,low,wash(top) → open(bin) seen in only 14% of sessions,wash(top) → open(bin)
P05-20240424-085204,P05,rare_transition,low,open(bin) → turn-on(tap) seen in only 14% of sessions,open(bin) → turn-on(tap)
P05-20240424-085204,P05,rare_transition,low,wash(hand) → put(cloth) seen in only 14% of sessions,wash(hand) → put(cloth)
P05-20240424-085204,P05,rare_transition,low,put(cloth) → wash(hand) seen in only 14% of sessions,put(cloth) → wash(hand)
P05-20240424-085204,P05,rare_transition,low,turn-off(tap) → take(glass) seen in only 14% of sessions,turn-off(tap) → take(glass)
P05-20240424-085204,P05,rare_transition,low,take(glass) → carry(glass) seen in only 14% of sessions,take(glass) → carry(glass)
P05-20240424-085204,P05,rare_transition,low,carry(glass) → pour(water) seen in only 14% of sessions,carry(glass) → pour(water)
P05-20240424-085204,P05,rare_transition,low,put(glass) → move(glass) seen in only 14% of sessions,put(glass) → move(glass)
P05-20240424-085204,P05,rare_transition,low,move(glass) → take(glass) seen in only 14% of sessions,move(glass) → take(glass)
P05-20240424-085204,P05,rare_transition,low,put(plate) → turn-on(scale) seen in only 14% of sessions,put(plate) → turn-on(scale)
P05-20240424-085204,P05,rare_transition,low,turn-on(scale) → take(banana) seen in only 14% of sessions,turn-on(scale) → take(banana)
P05-20240424-085204,P05,rare_transition,low,put(banana) → turn-off(scale) seen in only 14% of sessions,put(banana) → turn-off(scale)
P05-20240424-085204,P05,rare_transition,low,turn-off(scale) → take(banana) seen in only 14% of sessions,turn-off(scale) → take(banana)
P05-20240424-085204,P05,rare_transition,low,take(banana) → open(drawer) seen in only 14% of sessions,take(banana) → open(drawer)
P05-20240424-085204,P05,rare_transition,low,take(knife) → press(drawer) seen in only 14% of sessions,take(knife) → press(drawer)
P05-20240424-085204,P05,rare_transition,low,press(drawer) → take(banana) seen in only 14% of sessions,press(drawer) → take(banana)
P05-20240424-085204,P05,rare_transition,low,take(banana) → pat(banana) seen in only 14% of sessions,take(banana) → pat(banana)
P05-20240424-085204,P05,rare_transition,low,pat(banana) → peel(skin) seen in only 14% of sessions,pat(banana) → peel(skin)
P05-20240424-085204,P05,rare_transition,low,peel(skin) → take(lid) seen in only 14% of sessions,peel(skin) → take(lid)
P05-20240424-085204,P05,rare_transition,low,take(lid) → put(skin) seen in only 14% of sessions,take(lid) → put(skin)
P05-20240424-085204,P05,rare_transition,low,put(skin) → close(lid) seen in only 14% of sessions,put(skin) → close(lid)
P05-20240424-085204,P05,rare_transition,low,close(lid) → put(banana) seen in only 14% of sessions,close(lid) → put(banana)
P05-20240424-085204,P05,rare_transition,low,put(banana) → cut(banana) seen in only 14% of sessions,put(banana) → cut(banana)
P05-20240424-085204,P05,rare_transition,low,turn-off(tap) → dry(hand) seen in only 14% of sessions,turn-off(tap) → dry(hand)
P05-20240424-085204,P05,rare_transition,low,dry(hand) → open(drawer) seen in only 14% of sessions,dry(hand) → open(drawer)
P05-20240424-085204,P05,rare_transition,low,open(microwave) → take(bowl) seen in only 14% of sessions,open(microwave) → take(bowl)
P05-20240424-085204,P05,rare_transition,low,shake(oatmeal) → put(spoon) seen in only 14% of sessions,shake(oatmeal) → put(spoon)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,move(glass)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,put(scale)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,turn-off(tap)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,turn-on(tap)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,take(glass)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,take(scale)
P05-20240424-090812,P05,omission,critical,Missing from session; present in ≥80% of sessions,put(bowl)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,put(glass)
P05-20240424-090812,P05,omission,moderate,Missing from session; present in ≥50% of sessions,take(plate)
P05-20240424-090812,P05,oscillation,moderate,take(package) → put(nut) → take(package) at position 9 (span=5.7s),take(package) ↔ put(nut)
P05-20240424-090812,P05,oscillation,moderate,move(spoon) → put(knife) → move(spoon) at position 36 (span=3.8s),move(spoon) ↔ put(knife)
P05-20240424-090812,P05,rare_transition,low,mix(oatmeal) → pat(spoon) seen in only 14% of sessions,mix(oatmeal) → pat(spoon)
P05-20240424-090812,P05,rare_transition,low,pat(spoon) → put(oatmeal) seen in only 14% of sessions,pat(spoon) → put(oatmeal)
P05-20240424-090812,P05,rare_transition,low,put(spoon) → move(oatmeal) seen in only 14% of sessions,put(spoon) → move(oatmeal)
P05-20240424-090812,P05,rare_transition,low,take(package) → put(nut) seen in only 14% of sessions,take(package) → put(nut)
P05-20240424-090812,P05,rare_transition,low,put(nut) → take(package) seen in only 14% of sessions,put(nut) → take(package)
P05-20240424-090812,P05,rare_transition,low,put(package) → look(microwave) seen in only 14% of sessions,put(package) → look(microwave)
P05-20240424-090812,P05,rare_transition,low,look(microwave) → open(cupboard) seen in only 14% of sessions,look(microwave) → open(cupboard)
P05-20240424-090812,P05,rare_transition,low,take(spoon) → shake(oatmeal) seen in only 14% of sessions,take(spoon) → shake(oatmeal)
P05-20240424-090812,P05,rare_transition,low,turn-on(scale) → take(bag) seen in only 14% of sessions,turn-on(scale) → take(bag)
P05-20240424-090812,P05,rare_transition,low,take(bag) → pour(raisin) seen in only 14% of sessions,take(bag) → pour(raisin)
P05-20240424-090812,P05,rare_transition,low,pour(raisin) → put(bag) seen in only 14% of sessions,pour(raisin) → put(bag)
P05-20240424-090812,P05,rare_transition,low,put(bag) → take(bag) seen in only 14% of sessions,put(bag) → take(bag)
P05-20240424-090812,P05,rare_transition,low,take(bag) → move(bag) seen in only 14% of sessions,take(bag) → move(bag)
P05-20240424-090812,P05,rare_transition,low,move(bag) → set(scale) seen in only 14% of sessions,move(bag) → set(scale)
P05-20240424-090812,P05,rare_transition,low,set(scale) → put(nut) seen in only 14% of sessions,set(scale) → put(nut)
P05-20240424-090812,P05,rare_transition,low,put(nut) → put(bag) seen in only 14% of sessions,put(nut) → put(bag)
P05-20240424-090812,P05,rare_transition,low,put(bag) → set(scale) seen in only 14% of sessions,put(bag) → set(scale)
P05-20240424-090812,P05,rare_transition,low,set(scale) → take(knife) seen in only 14% of sessions,set(scale) → take(knife)
P05-20240424-090812,P05,rare_transition,low,take(knife) → add(banana) seen in only 14% of sessions,take(knife) → add(banana)
P05-20240424-090812,P05,rare_transition,low,add(banana) → put(plate) seen in only 14% of sessions,add(banana) → put(plate)
P05-20240424-090812,P05,rare_transition,low,turn-off(scale) → move(bowl) seen in only 14% of sessions,turn-off(scale) → move(bowl)
P05-20240424-090812,P05,rare_transition,low,move(bowl) → move(spoon) seen in only 14% of sessions,move(bowl) → move(spoon)
P05-20240424-090812,P05,rare_transition,low,move(spoon) → put(knife) seen in only 14% of sessions,move(spoon) → put(knife)
P05-20240424-090812,P05,rare_transition,low,put(knife) → move(spoon) seen in only 14% of sessions,put(knife) → move(spoon)
P05-20240424-090812,P05,rare_transition,low,move(spoon) → open(drawer) seen in only 14% of sessions,move(spoon) → open(drawer)
P05-20240424-090812,P05,rare_transition,low,open(drawer) → add(scale) seen in only 14% of sessions,open(drawer) → add(scale)
P05-20240424-090812,P05,rare_transition,low,add(scale) → close(drawer) seen in only 14% of sessions,add(scale) → close(drawer)
P05-20240424-090812,P05,rare_transition,low,close(drawer) → take(oatmeal) seen in only 14% of sessions,close(drawer) → take(oatmeal)
P05-20240425-082420,P05,omission,moderate,Missing from session; present in ≥50% of sessions,shake(oatmeal)
P05-20240425-082420,P05,omission,moderate,Missing from session; present in ≥50% of sessions,eat(spoon)
P05-20240425-082420,P05,oscillation,moderate,open(cupboard) → put(bottle) → open(cupboard) at position 19 (span=4.0s),open(cupboard) ↔ put(bottle)
P05-20240425-082420,P05,oscillation,moderate,put(fork) → take(cutlery) → put(fork) at position 95 (span=4.6s),put(fork) ↔ take(cutlery)
P05-20240425-082420,P05,oscillation,moderate,put(spoon) → take(cutlery) → put(spoon) at position 99 (span=4.8s),put(spoon) ↔ take(cutlery)
P05-20240425-082420,P05,rare_transition,low,turn-on(scale) → take(package) seen in only 14% of sessions,turn-on(scale) → take(package)
P05-20240425-082420,P05,rare_transition,low,take(package) → pull(oatmeal) seen in only 14% of sessions,take(package) → pull(oatmeal)
P05-20240425-082420,P05,rare_transition,low,pull(oatmeal) → shake(bag) seen in only 14% of sessions,pull(oatmeal) → shake(bag)
P05-20240425-082420,P05,rare_transition,low,shake(bag) → put(package) seen in only 14% of sessions,shake(bag) → put(package)
P05-20240425-082420,P05,rare_transition,low,put(package) → put(oatmeal) seen in only 14% of sessions,put(package) → put(oatmeal)
P05-20240425-082420,P05,rare_transition,low,take(milk) → unscrew(top) seen in only 14% of sessions,take(milk) → unscrew(top)
P05-20240425-082420,P05,rare_transition,low,open(cupboard) → put(bottle) seen in only 14% of sessions,open(cupboard) → put(bottle)
P05-20240425-082420,P05,rare_transition,low,put(bottle) → open(cupboard) seen in only 14% of sessions,put(bottle) → open(cupboard)
P05-20240425-082420,P05,rare_transition,low,open(cupboard) → take(glass) seen in only 14% of sessions,open(cupboard) → take(glass)
P05-20240425-082420,P05,rare_transition,low,turn-on(tap) → fill(glass) seen in only 14% of sessions,turn-on(tap) → fill(glass)
P05-20240425-082420,P05,rare_transition,low,fill(glass) → turn-off(tap) seen in only 14% of sessions,fill(glass) → turn-off(tap)
P05-20240425-082420,P05,rare_transition,low,take(oatmeal) → open(microwave) seen in only 14% of sessions,take(oatmeal) → open(microwave)
P05-20240425-082420,P05,rare_transition,low,press(button) → turn-off(scale) seen in only 14% of sessions,press(button) → turn-off(scale)
P05-20240425-082420,P05,rare_transition,low,turn-off(scale) → take(glass) seen in only 14% of sessions,turn-off(scale) → take(glass)
P05-20240425-082420,P05,rare_transition,low,put(glass) → take(package) seen in only 14% of sessions,put(glass) → take(package)
P05-20240425-082420,P05,rare_transition,low,move(package) → take(plate) seen in only 14% of sessions,move(package) → take(plate)
P05-20240425-082420,P05,rare_transition,low,put(plate) → put(plate) seen in only 14% of sessions,put(plate) → put(plate)
P05-20240425-082420,P05,rare_transition,low,put(plate) → take(banana) seen in only 14% of sessions,put(plate) → take(banana)
P05-20240425-082420,P05,rare_transition,low,put(banana) → open(drawer) seen in only 14% of sessions,put(banana) → open(drawer)
P05-20240425-082420,P05,rare_transition,low,take(knife) → close(cupboard) seen in only 14% of sessions,take(knife) → close(cupboard)
P05-20240425-082420,P05,rare_transition,low,close(cupboard) → screw(banana) seen in only 14% of sessions,close(cupboard) → screw(banana)
P05-20240425-082420,P05,rare_transition,low,screw(banana) → cut(rest) seen in only 14% of sessions,screw(banana) → cut(rest)
P05-20240425-082420,P05,rare_transition,low,cut(rest) → flip(banana) seen in only 14% of sessions,cut(rest) → flip(banana)
P05-20240425-082420,P05,rare_transition,low,flip(banana) → pull(banana) seen in only 14% of sessions,flip(banana) → pull(banana)
P05-20240425-082420,P05,rare_transition,low,pull(banana) → peel(skin) seen in only 14% of sessions,pull(banana) → peel(skin)
P05-20240425-082420,P05,rare_transition,low,take(skin) → take(skin) seen in only 14% of sessions,take(skin) → take(skin)
P05-20240425-082420,P05,rare_transition,low,move(skin) → put(banana) seen in only 14% of sessions,move(skin) → put(banana)
P05-20240425-082420,P05,rare_transition,low,put(banana) → put(lid) seen in only 14% of sessions,put(banana) → put(lid)
P05-20240425-082420,P05,rare_transition,low,put(lid) → take(banana) seen in only 14% of sessions,put(lid) → take(banana)
P05-20240425-082420,P05,rare_transition,low,take(banana) → take(banana) seen in only 14% of sessions,take(banana) → take(banana)
P05-20240425-082420,P05,rare_transition,low,take(banana) → open(bin) seen in only 14% of sessions,take(banana) → open(bin)
P05-20240425-082420,P05,rare_transition,low,open(bin) → throw(banana) seen in only 14% of sessions,open(bin) → throw(banana)
P05-20240425-082420,P05,rare_transition,low,throw(banana) → cut(banana) seen in only 14% of sessions,throw(banana) → cut(banana)
P05-20240425-082420,P05,rare_transition,low,turn-off(tap) → shake(water) seen in only 14% of sessions,turn-off(tap) → shake(water)
P05-20240425-082420,P05,rare_transition,low,shake(water) → dry(hand) seen in only 14% of sessions,shake(water) → dry(hand)
P05-20240425-082420,P05,rare_transition,low,dry(hand) → take(bottle) seen in only 14% of sessions,dry(hand) → take(bottle)
P05-20240425-082420,P05,rare_transition,low,take(bottle) → take(lid) seen in only 14% of sessions,take(bottle) → take(lid)
P05-20240425-082420,P05,rare_transition,low,take(lid) → shake(bottle) seen in only 14% of sessions,take(lid) → shake(bottle)
P05-20240425-082420,P05,rare_transition,low,shake(bottle) → put(bottle) seen in only 14% of sessions,shake(bottle) → put(bottle)
P05-20240425-082420,P05,rare_transition,low,put(bottle) → take(cup) seen in only 14% of sessions,put(bottle) → take(cup)
P05-20240425-082420,P05,rare_transition,low,put(cup) → take(glass) seen in only 14% of sessions,put(cup) → take(glass)
P05-20240425-082420,P05,rare_transition,low,move(glass) → take(heat) seen in only 14% of sessions,move(glass) → take(heat)
P05-20240425-082420,P05,rare_transition,low,take(heat) → shake(water) seen in only 14% of sessions,take(heat) → shake(water)
P05-20240425-082420,P05,rare_transition,low,shake(water) → take(lid) seen in only 14% of sessions,shake(water) → take(lid)
P05-20240425-082420,P05,rare_transition,low,take(lid) → screw(lid) seen in only 14% of sessions,take(lid) → screw(lid)
P05-20240425-082420,P05,rare_transition,low,screw(lid) → put(heat) seen in only 14% of sessions,screw(lid) → put(heat)
P05-20240425-082420,P05,rare_transition,low,put(heat) → take(bottle) seen in only 14% of sessions,put(heat) → take(bottle)
P05-20240425-082420,P05,rare_transition,low,take(bottle) → shake(water) seen in only 14% of sessions,take(bottle) → shake(water)
P05-20240425-082420,P05,rare_transition,low,shake(water) → put(bottle) seen in only 14% of sessions,shake(water) → put(bottle)
P05-20240425-082420,P05,rare_transition,low,put(bottle) → take(cutlery) seen in only 14% of sessions,put(bottle) → take(cutlery)
P05-20240425-082420,P05,rare_transition,low,put(knife) → take(cutlery) seen in only 14% of sessions,put(knife) → take(cutlery)
P05-20240425-082420,P05,rare_transition,low,take(cutlery) → put(spoon) seen in only 14% of sessions,take(cutlery) → put(spoon)
P05-20240425-082420,P05,rare_transition,low,put(spoon) → put(fork) seen in only 14% of sessions,put(spoon) → put(fork)
P05-20240425-082420,P05,rare_transition,low,put(fork) → take(cutlery) seen in only 14% of sessions,put(fork) → take(cutlery)
P05-20240425-082420,P05,rare_transition,low,take(cutlery) → put(spoon) seen in only 14% of sessions,take(cutlery) → put(spoon)
P05-20240425-082420,P05,rare_transition,low,put(spoon) → put(fork) seen in only 14% of sessions,put(spoon) → put(fork)
P05-20240425-082420,P05,rare_transition,low,put(fork) → take(cutlery) seen in only 14% of sessions,put(fork) → take(cutlery)
P05-20240425-082420,P05,rare_transition,low,take(cutlery) → put(fork) seen in only 14% of sessions,take(cutlery) → put(fork)
P05-20240425-082420,P05,rare_transition,low,put(fork) → put(spoon) seen in only 14% of sessions,put(fork) → put(spoon)
P05-20240425-082420,P05,rare_transition,low,put(spoon) → put(spoon) seen in only 14% of sessions,put(spoon) → put(spoon)
P05-20240425-082420,P05,rare_transition,low,put(spoon) → take(cutlery) seen in only 14% of sessions,put(spoon) → take(cutlery)
P05-20240425-082420,P05,rare_transition,low,take(cutlery) → put(spoon) seen in only 14% of sessions,take(cutlery) → put(spoon)
P05-20240425-082420,P05,rare_transition,low,put(spoon) → pull(drawer) seen in only 14% of sessions,put(spoon) → pull(drawer)
P05-20240425-082420,P05,rare_transition,low,pull(drawer) → take(spoon) seen in only 14% of sessions,pull(drawer) → take(spoon)
P05-20240425-082420,P05,rare_transition,low,close(drawer) → move(teapot) seen in only 14% of sessions,close(drawer) → move(teapot)
P05-20240425-082420,P05,rare_transition,low,move(teapot) → open(cupboard) seen in only 14% of sessions,move(teapot) → open(cupboard)
P05-20240425-082420,P05,rare_transition,low,mix(oatmeal) → shake(liquid) seen in only 14% of sessions,mix(oatmeal) → shake(liquid)
P05-20240425-082420,P05,rare_transition,low,shake(liquid) → take(oatmeal) seen in only 14% of sessions,shake(liquid) → take(oatmeal)
P05-20240425-082420,P05,rare_transition,low,put(spoon) → open(cupboard) seen in only 14% of sessions,put(spoon) → open(cupboard)
P05-20240425-083515,P05,omission,moderate,Missing from session; present in ≥50% of sessions,move(oatmeal)
P05-20240425-083515,P05,ordering,moderate,"Edit distance=1, 1 swapped pairs",edit_dist=1
P05-20240425-083515,P05,ordering_swap,moderate,press(button) and put(spoon) in reversed order vs canonical,press(button) <-> put(spoon)
P05-20240425-083515,P05,oscillation,moderate,move(glass) → put(water) → move(glass) at position 15 (span=1.8s),move(glass) ↔ put(water)
P05-20240425-083515,P05,rare_transition,low,take(bowl) → open(cupboard) seen in only 14% of sessions,take(bowl) → open(cupboard)
P05-20240425-083515,P05,rare_transition,low,press(button) → take(glass) seen in only 14% of sessions,press(button) → take(glass)
P05-20240425-083515,P05,rare_transition,low,turn-off(tap) → drink(glass) seen in only 14% of sessions,turn-off(tap) → drink(glass)
P05-20240425-083515,P05,rare_transition,low,drink(glass) → move(glass) seen in only 14% of sessions,drink(glass) → move(glass)
P05-20240425-083515,P05,rare_transition,low,move(glass) → put(water) seen in only 14% of sessions,move(glass) → put(water)
P05-20240425-083515,P05,rare_transition,low,put(water) → move(glass) seen in only 14% of sessions,put(water) → move(glass)
P05-20240425-083515,P05,rare_transition,low,move(glass) → put(glass) seen in only 14% of sessions,move(glass) → put(glass)
P05-20240425-083515,P05,rare_transition,low,put(glass) → check(microwave) seen in only 14% of sessions,put(glass) → check(microwave)
P05-20240425-083515,P05,rare_transition,low,check(microwave) → open(cupboard) seen in only 14% of sessions,check(microwave) → open(cupboard)
P05-20240425-083515,P05,rare_transition,low,open(cupboard) → finish(cupboard) seen in only 14% of sessions,open(cupboard) → finish(cupboard)
P05-20240425-083515,P05,rare_transition,low,finish(cupboard) → take(oatmeal) seen in only 14% of sessions,finish(cupboard) → take(oatmeal)
P05-20240425-083515,P05,rare_transition,low,turn-on(scale) → take(plate) seen in only 14% of sessions,turn-on(scale) → take(plate)
P05-20240425-083515,P05,rare_transition,low,take(plate) → take(spoon) seen in only 14% of sessions,take(plate) → take(spoon)
P05-20240425-083515,P05,rare_transition,low,take(spoon) → scrape(banana) seen in only 14% of sessions,take(spoon) → scrape(banana)
P05-20240425-083515,P05,rare_transition,low,scrape(banana) → put(plate) seen in only 14% of sessions,scrape(banana) → put(plate)
P05-20240425-083515,P05,rare_transition,low,turn-off(scale) → move(knife) seen in only 14% of sessions,turn-off(scale) → move(knife)
P05-20240425-083515,P05,rare_transition,low,move(knife) → take(package) seen in only 14% of sessions,move(knife) → take(package)
P05-20240425-083515,P05,rare_transition,low,take(package) → turn-on(scale) seen in only 14% of sessions,take(package) → turn-on(scale)
P05-20240425-083515,P05,rare_transition,low,turn-on(scale) → pour(raisin) seen in only 14% of sessions,turn-on(scale) → pour(raisin)
P05-20240425-083515,P05,rare_transition,low,pour(raisin) → put(raisin) seen in only 14% of sessions,pour(raisin) → put(raisin)
P05-20240425-083515,P05,rare_transition,low,take(nut) → set(scale) seen in only 14% of sessions,take(nut) → set(scale)
P05-20240425-083515,P05,rare_transition,low,set(scale) → pour(nut) seen in only 14% of sessions,set(scale) → pour(nut)
P05-20240425-083515,P05,rare_transition,low,pour(nut) → put(nut) seen in only 14% of sessions,pour(nut) → put(nut)
P05-20240425-083515,P05,rare_transition,low,turn-off(scale) → take(bowl) seen in only 14% of sessions,turn-off(scale) → take(bowl)
P05-20240425-083515,P05,rare_transition,low,close(cupboard) → finish(alarm) seen in only 14% of sessions,close(cupboard) → finish(alarm)
P05-20240425-083515,P05,rare_transition,low,finish(alarm) → take(knife) seen in only 14% of sessions,finish(alarm) → take(knife)
P05-20240425-083515,P05,rare_transition,low,take(knife) → put(knife) seen in only 14% of sessions,take(knife) → put(knife)
P05-20240425-083515,P05,rare_transition,low,put(knife) → take(spoon) seen in only 14% of sessions,put(knife) → take(spoon)
P05-20240425-083515,P05,rare_transition,low,take(spoon) → take(bowl) seen in only 14% of sessions,take(spoon) → take(bowl)
P05-20240425-083515,P05,rare_transition,low,put(bowl) → put(spoon) seen in only 14% of sessions,put(bowl) → put(spoon)
P05-20240425-083515,P05,rare_transition,low,put(spoon) → take(plate) seen in only 14% of sessions,put(spoon) → take(plate)
P05-20240426-085333,P05,oscillation,moderate,open(cupboard) → move(oatmeal) → open(cupboard) at position 40 (span=2.5s),open(cupboard) ↔ move(oatmeal)
P05-20240426-085333,P05,oscillation,moderate,put(bowl) → take(package) → put(bowl) at position 83 (span=4.9s),put(bowl) ↔ take(package)
